"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","move_dir"
"Pandemic (2021/2022)","Southern Asia","North China",12,41891,3490.9,"SouthernAsia_NorthChina"
"Pandemic (2021/2022)","Southern Asia","Oceania",12,284724,23727,"SouthernAsia_Oceania"
"Pandemic (2021/2022)","Southern Asia","Russia",12,339452,28287.7,"SouthernAsia_Russia"
"Pandemic (2021/2022)","Southern Asia","South America",12,39545,3295.4,"SouthernAsia_SouthAmerica"
"Pandemic (2021/2022)","Southern Asia","South China",12,214542,17878.5,"SouthernAsia_SouthChina"
"Pandemic (2021/2022)","Southern Asia","South-eastern Asia",12,870599,72549.9,"SouthernAsia_SoutheasternAsia"
"Pandemic (2021/2022)","Southern Asia","Western Asia",12,12892146,1074345.5,"SouthernAsia_WesternAsia"
"Pandemic (2021/2022)","Western Asia","Africa",12,7827810,652317.5,"WesternAsia_Africa"
"Pandemic (2021/2022)","Western Asia","Europe",12,20636771,1719730.9,"WesternAsia_Europe"
"Pandemic (2021/2022)","Western Asia","Japan/Korea",12,256956,21413,"WesternAsia_JapanKorea"
"Pandemic (2021/2022)","Western Asia","North America",12,2784864,232072,"WesternAsia_NorthAmerica"
"Pandemic (2021/2022)","Western Asia","North China",12,33593,2799.4,"WesternAsia_NorthChina"
"Pandemic (2021/2022)","Western Asia","Oceania",12,270193,22516.1,"WesternAsia_Oceania"
"Pandemic (2021/2022)","Western Asia","Russia",12,3211815,267651.2,"WesternAsia_Russia"
"Pandemic (2021/2022)","Western Asia","South America",12,253121,21093.4,"WesternAsia_SouthAmerica"
"Pandemic (2021/2022)","Western Asia","South China",12,249718,20809.8,"WesternAsia_SouthChina"
"Pandemic (2021/2022)","Western Asia","South-eastern Asia",12,1700304,141692,"WesternAsia_SoutheasternAsia"
"Pandemic (2021/2022)","Western Asia","Southern Asia",12,13324927,1110410.6,"WesternAsia_SouthernAsia"
"Pandemic (2022/2023)","Africa","Europe",13,26982098,2075546,"Africa_Europe"
"Pandemic (2022/2023)","Africa","Japan/Korea",13,169608,13046.8,"Africa_JapanKorea"
"Pandemic (2022/2023)","Africa","North America",13,3213409,247185.3,"Africa_NorthAmerica"
"Pandemic (2022/2023)","Africa","North China",13,52729,4056.1,"Africa_NorthChina"
"Pandemic (2022/2023)","Africa","Oceania",13,290341,22333.9,"Africa_Oceania"
"Pandemic (2022/2023)","Africa","Russia",13,408537,31425.9,"Africa_Russia"
